"L","Parameter","Bias","ESD","ASE","CP"
2.5,0.016,-0.001,0.015,0.015,0.952
2.5,0.025,-0.001,0.016,0.017,0.963
2.5,0.019,0,0.017,0.018,0.956
2.5,0.025,0,0.016,0.017,0.964
2.5,0.015,-0.001,0.014,0.015,0.957
2.5,0.016,-0.001,0.015,0.015,0.957
2.5,0.025,-0.001,0.016,0.017,0.957
2.5,0.019,-0.001,0.017,0.018,0.946
2.5,0.025,0,0.029,0.03,0.957
2.5,0.015,0,0.029,0.03,0.955
2.5,0.016,0,0.028,0.03,0.963
2.5,0.025,-0.001,0.029,0.03,0.953
2.5,0.019,-0.001,0.028,0.03,0.96
2.5,0.025,0.002,0.029,0.03,0.959
2.5,0.015,0,0.031,0.03,0.937
5,0.04,-0.009,0.045,0.043,0.936
5,0.066,-0.013,0.048,0.048,0.949
5,0.048,-0.015,0.051,0.052,0.95
5,0.065,-0.009,0.048,0.048,0.939
5,0.04,-0.011,0.043,0.043,0.948
5,0.04,-0.011,0.045,0.043,0.938
5,0.064,-0.012,0.049,0.048,0.953
5,0.048,-0.013,0.052,0.052,0.944
5,0.065,-0.011,0.086,0.086,0.946
5,0.041,-0.015,0.084,0.086,0.961
5,0.041,-0.009,0.079,0.086,0.964
5,0.065,-0.011,0.085,0.086,0.962
5,0.05,-0.013,0.085,0.086,0.953
5,0.064,-0.005,0.086,0.086,0.946
5,0.04,-0.01,0.086,0.086,0.947
